state,cd_2020,cd_2010,pop,vap,pop_overlap,vap_overlap
IN,5,9,47595,37034,0.06306161873391826,0.06409062747690529
IN,6,5,189937,152730,0.2525042773788807,0.2648109842895808
IN,6,7,562276,424021,0.7474957226211193,0.7351890157104193
IN,7,6,367984,284305,0.48756457530351555,0.4976370096795085
IN,7,7,224990,165691,0.2981030528434333,0.29001942903152406
IN,7,9,161765,121314,0.21433237185305118,0.21234356128896745
IN,8,6,226132,174572,0.2996709519335384,0.2949060575243514
IN,8,9,528469,417386,0.7003290480664616,0.7050939424756486
IN,9,4,9922,7772,0.013157772594118123,0.013277707733256797
IN,9,8,715369,555417,0.9486658559646933,0.9488760416986992
IN,9,9,28788,22153,0.038176371441188524,0.03784625056804398
IA,1,1,56793,44256,0.07120629300487472,0.07156509843111762
IA,1,2,688388,535066,0.863091536440049,0.8652397631314258
IA,1,3,52403,39080,0.06570217055507634,0.06319513843745654
IA,2,1,683282,528058,0.856684332406791,0.8555342775579772
IA,2,4,114307,89168,0.14331566759320905,0.14446572244202285
IA,3,2,96965,73339,0.1215784319748831,0.12203681455276409
IA,3,3,691815,520801,0.867424152185879,0.8666179666465876
IA,3,4,8771,6818,0.010997415839237867,0.011345218800648298
IA,4,1,40105,30017,0.050279259570360245,0.0489261096269541
IA,4,3,114756,87856,0.14386851293495226,0.14320059590850784
IA,4,4,642784,495644,0.8058522274946874,0.807873294464538
KS,1,1,602775,459714,0.8205150892285913,0.8125701498710568
KS,1,2,131835,106027,0.17945768618215974,0.18740863945926933
KS,1,4,20,12,2.7224589249009706e-5,2.1210669673868278e-5
KS,2,1,95576,71764,0.13005395328584354,0.12927166251456837
KS,2,2,526327,402416,0.7161934698154158,0.7248897127036195
KS,2,3,112992,80961,0.15375257689874064,0.1458386247818122
KS,3,2,54845,41989,0.07470656101909856,0.0755052534853904
KS,3,3,679294,514118,0.9252934389809014,0.9244947465146096
KS,4,1,2422,1826,0.003298756769125162,0.0033060843902483184
KS,4,4,731794,550489,0.9967012432308748,0.9966939156097517
KY,1,1,652831,504276,0.8699761860658501,0.8676776001885822
